time,NO2,CO,PM2.5,PM10
2019-01-04,19,8,85,59
2019-01-05,34,5,78,53
2019-01-06,36,6,60,41
2019-01-07,24,5,71,48
2019-01-08,31,2,42,27
2019-01-09,33,3,50,33
2019-01-10,30,4,88,60
2019-01-11,28,6,83,55
2019-01-12,20,8,100,71
2019-01-13,19,4,75,47
2019-01-14,18,4,93,62
2019-01-15,20,4,74,54
2019-01-16,10,5,52,38
2019-01-17,10,4,49,39
2019-01-18,16,6,103,69
2019-01-19,28,7,126,88
2019-01-20,46,8,180,108
2019-01-21,12,7,50,45
2019-01-22,11,4,81,56
2019-01-23,22,6,127,93
2019-01-24,17,6,201,134
2019-01-25,19,5,109,89
2019-01-26,24,10,177,96
2019-01-27,49,8,158,93
2019-01-28,14,6,89,57
