time,NO2,CO,PM2.5,PM10
2019-01-22 01:00,13.4,759.8,21.9,42.2
2019-01-22 02:00,13.4,940.9,16.2,40.0
2019-01-22 03:00,11.5,597.7,12.2,26.9
2019-01-22 04:00,9.5,532.4,22.4,41.8
2019-01-22 05:00,11.5,702.4,26.4,52.2
2019-01-22 06:00,9.5,629.1,29.6,63.8
2019-01-22 07:00,11.5,869.1,41.9,92.9
2019-01-22 08:00,13.4,530.4,47.9,106.4
2019-01-22 09:00,13.9,837.2,37.3,71.7
2019-01-22 10:00,15.2,607.3,30.4,62.5
2019-01-22 11:00,15.6,530.6,47.8,90.8
2019-01-22 12:00,15.2,778.9,40.7,85.2
2019-01-22 13:00,11.9,872.7,37.1,71.1
2019-01-22 14:00,13.0,463.5,40.9,87.1
2019-01-22 15:00,9.7,977.1,57.5,116.9
2019-01-22 16:00,8.1,824.1,48.4,94.9
2019-01-22 17:00,5.8,776.1,42.8,83.7
2019-01-22 18:00,10.1,677.6,48.2,105.1
2019-01-22 19:00,8.9,718.3,54.5,117.6
2019-01-22 20:00,12.1,939.2,45.1,98.4
2019-01-22 21:00,13.3,1191.1,52.5,117.3
2019-01-22 22:00,10.9,885.0,61.8,128.7
2019-01-22 23:00,11.0,913.2,68.1,142.4
2019-01-23 00:00,17.4,883.6,86.4,173.2
2019-01-23 01:00,10.5,778.0,58.6,151.9
2019-01-23 02:00,21.5,1003.9,48.2,102.4
2019-01-23 03:00,13.5,749.9,50.2,102.9
2019-01-23 04:00,8.4,615.2,45.9,94.6
2019-01-23 05:00,19.5,1353.0,44.3,89.0
2019-01-23 06:00,27.9,1162.1,44.6,90.6
2019-01-23 07:00,9.0,1105.1,41.3,83.9
2019-01-23 08:00,27.2,902.7,46.6,85.6
2019-01-23 09:00,25.3,1020.6,45.9,90.6
2019-01-23 10:00,23.7,942.1,50.6,102.5
2019-01-23 11:00,28.3,1505.6,56.2,113.0
2019-01-23 12:00,31.3,1677.2,61.4,123.6
2019-01-23 13:00,15.8,1673.7,70.1,136.4
2019-01-23 14:00,7.3,1383.1,54.7,113.6
2019-01-23 15:00,31.1,1014.4,66.2,135.3
2019-01-23 16:00,32.5,906.5,62.6,125.4
2019-01-23 17:00,36.8,944.5,85.9,174.3
2019-01-23 18:00,29.2,1187.4,78.7,183.4
2019-01-23 19:00,28.3,1280.4,98.6,201.1
2019-01-23 20:00,25.0,1305.3,70.6,114.9
2019-01-23 21:00,17.9,1048.5,90.2,201.3
2019-01-23 22:00,26.1,1115.3,132.4,278.2
2019-01-23 23:00,17.9,1186.8,60.1,94.9
2019-01-24 00:00,26.4,1552.0,138.6,292.2
2019-01-24 01:00,16.8,1805.8,125.3,321.6
2019-01-24 02:00,19.8,1640.9,134.0,354.9
2019-01-24 03:00,20.2,1676.3,131.3,245.9
2019-01-24 04:00,11.6,1362.1,98.2,193.0
2019-01-24 05:00,12.0,1181.1,88.3,117.0
2019-01-24 06:00,19.1,1109.4,95.3,141.6
2019-01-24 07:00,22.9,1193.3,110.6,220.3
2019-01-24 08:00,19.1,1114.0,56.7,163.2
2019-01-24 09:00,15.0,1337.6,87.3,163.2
2019-01-24 10:00,14.2,1761.5,101.2,228.2
2019-01-24 11:00,20.4,1534.7,105.6,197.4
2019-01-24 12:00,18.4,1313.3,93.8,160.5
2019-01-24 13:00,17.1,1111.7,88.8,166.0
2019-01-24 14:00,14.3,835.1,96.3,151.7
2019-01-25 10:00,26.2,1509.0,121.6,195.2
2019-01-25 11:00,16.1,1337.7,159.6,266.3
2019-01-25 12:00,20.1,1427.0,158.3,234.8
