time,NO2,SO2,CO,PM2.5,PM10
2019-01-04,14,1,5,122,76
2019-01-05,14,1,10,130,80
2019-01-06,11,2,7,90,57
2019-01-07,11,2,8,122,68
2019-01-08,6,1,7,52,29
2019-01-09,6,1,5,49,30
2019-01-10,6,1,13,97,60
2019-01-11,5,1,9,195,100
2019-01-12,24,3,13,197,100
2019-01-13,16,2,13,109,59
2019-01-14,24,2,13,125,70
2019-01-15,21,6,6,89,54
2019-01-16,9,1,4,50,32
2019-01-17,9,1,6,71,47
2019-01-18,12,1,7,125,75
2019-01-19,22,2,14,238,133
2019-01-20,18,1,15,201,121
2019-01-21,9,0,8,37,40
2019-01-22,14,1,13,158,102
2019-01-23,26,0,13,245,142
2019-01-24,24,1,12,251,151
2019-01-25,18,0,8,308,198
2019-01-26,13,1,11,178,108
2019-01-27,22,2,12,188,113
2019-01-28,22,2,9,118,66
