time,NO2,SO2,CO,PM2.5,PM10,O3
2019-01-22 01:00,8.16,0.78,1124.5,12.77,35.42,0.86
2019-01-22 02:00,7.93,0.68,1096.7,36.85,76.36,1.18
2019-01-22 03:00,7.45,0.85,1014.1,19.93,49.67,0.86
2019-01-22 04:00,7.54,0.29,1004.8,33.1,61.89,1.02
2019-01-22 05:00,7.75,0.12,1055.8,24.65,54.07,1.3
2019-01-22 06:00,7.66,0.08,970.9,85.38,159.96,1.28
2019-01-22 07:00,8.31,0.75,1002.5,90.88,160.63,1.2
2019-01-22 08:00,8.86,0.53,1220.1,58.94,87.61,1.1400000000000001
2019-01-22 09:00,9.4,0.43,1299.2,70.48,124.21,1.3599999999999999
2019-01-22 10:00,9.65,0.61,1211.4,58.62,98.65,2.14
2019-01-22 11:00,9.02,0.21,1208.1,62.39,102.43,2.64
2019-01-22 12:00,8.9,0.11,1313.6,46.8,87.54,2.98
2019-01-22 13:00,9.21,0.24,1226.8,61.66,99.12,3.18
2019-01-22 14:00,8.92,1.17,1211.9,45.91,83.45,3.1
2019-01-22 15:00,10.91,0.34,1368.1,49.41,82.02,2.7800000000000002
2019-01-22 16:00,9.61,0.67,1424.8,57.21,94.97,3.1
2019-01-22 17:00,8.29,0.99,1213.8,94.29,156.52,2.58
2019-01-22 18:00,9.78,0.16,1445.5,147.03,244.07,1.54
2019-01-22 19:00,11.0,0.05,1737.1,149.6,248.33,1.08
2019-01-22 20:00,18.18,0.53,2634.0,155.91,258.81,0.5
2019-01-22 21:00,23.65,2.03,3523.5,184.44,306.17,0.18
2019-01-22 22:00,27.16,1.23,3949.3,158.43,262.99,0.5
2019-01-22 23:00,25.75,1.98,3873.2,117.21,194.57,0.16
2019-01-23 00:00,25.48,2.24,3884.1,151.68,251.78,0.2
2019-01-23 01:00,25.61,0.03,3871.7,170.16,282.46,0.28
2019-01-23 02:00,25.48,0.11,3707.0,154.02,255.67,0.36
2019-01-23 03:00,24.1,0.43,3286.2,111.53,185.14,0.26
2019-01-23 04:00,23.05,0.64,2841.1,80.3,133.3,0.30000000000000004
2019-01-23 05:00,22.65,0.23,2455.3,98.13,162.89,0.24
2019-01-23 06:00,23.72,0.54,2204.8,107.3,178.11,0.34
2019-01-23 07:00,22.18,0.03,1956.0,134.0,222.44,0.34
2019-01-23 08:00,21.35,0.12,2094.4,144.31,239.55,0.38
2019-01-23 09:00,9.78,0.72,2209.6,91.73,152.27,0.46
2019-01-23 10:00,11.0,0.34,2054.8,159.0,263.94,0.7000000000000001
2019-01-23 11:00,18.18,1.6600000000000001,2160.6,114.94,190.8,1.42
2019-01-23 12:00,23.65,1.03,2287.3,92.86,154.14,1.28
2019-01-23 13:00,27.16,1.45,2126.9,97.88,162.48,2.9
2019-01-23 14:00,25.75,0.88,2180.5,102.56,170.25,2.66
2019-01-23 15:00,38.77,0.12,2156.2,105.53,198.37,1.58
2019-01-23 16:00,40.4,0.09,2565.3,78.4,145.91,1.0
2019-01-23 17:00,29.32,0.27,3247.4,115.82,218.13,0.74
2019-01-23 18:00,26.19,1.23,2151.8,85.49,159.84,0.96
2019-01-23 19:00,39.94,1.01,2341.9,89.09,169.4,0.8200000000000001
2019-01-23 20:00,32.53,0.76,2428.1,175.33,321.61,0.62
2019-01-23 21:00,33.62,0.64,2680.9,190.58,340.41,0.36
2019-01-23 22:00,31.86,0.43,2715.2,189.97,341.29,0.5
2019-01-23 23:00,28.78,0.21,2844.3,137.11,253.94,0.4
2019-01-24 00:00,27.83,0.05,2542.4,129.69,246.41,0.34
2019-01-24 01:00,23.63,1.55,2376.4,121.05,230.66,0.36
2019-01-24 02:00,20.53,1.67,2361.3,94.28,181.86,0.72
2019-01-24 03:00,18.68,1.32,2210.6,81.86,159.22,0.62
2019-01-24 04:00,19.41,1.44,2090.2,93.13,149.77,0.44
2019-01-24 05:00,19.79,1.2,2086.4,142.15,239.12,0.5
2019-01-24 06:00,20.93,1.18,2285.4,72.03,141.3,0.38
2019-01-24 07:00,21.66,1.42,2722.1,187.19,347.23,0.2
2019-01-24 08:00,21.3,1.98,3245.9,164.84,300.48,0.24
2019-01-24 09:00,23.3,0.23,3479.1,156.54,280.12,0.36
2019-01-24 10:00,24.79,0.35000000000000003,3265.4,126.47,220.9,0.26
2019-01-24 11:00,29.3,2.08,3299.4,151.93,273.37,0.42
2019-01-24 12:00,33.39,1.45,3472.0,152.93,270.12,0.84
2019-01-24 13:00,35.26,1.21,3554.0,117.36,208.55,1.6800000000000002
2019-01-24 14:00,30.81,1.6,3102.5,97.46,189.23,1.2
2019-01-25 10:00,15.8,0.98,2525.9,186.67,354.41,0.7000000000000001
2019-01-25 11:00,17.61,1.58,2457.9,145.96,289.3,0.64
2019-01-25 12:00,19.33,0.48,2394.4,135.78,270.52,0.72
2019-01-25 13:00,19.92,0.43,2490.4,147.66,292.44,1.2
2019-01-25 14:00,19.56,0.48,2386.4,156.33,278.43,1.6600000000000001
2019-01-25 15:00,17.84,1.58,2077.0,125.85,218.52,1.62
2019-01-25 16:00,18.45,1.12,2235.6,144.91,243.1,1.58
2019-01-25 17:00,19.98,0.98,2503.0,158.11,269.98,1.26
2019-01-25 18:00,20.28,1.15,2607.3,129.58,218.7,0.92
2019-01-25 19:00,21.98,0.37,3087.2,101.5,178.18,0.7000000000000001
2019-01-25 20:00,24.54,0.65,3805.1,119.37,207.79,0.4
2019-01-25 21:00,24.22,0.67,3447.3,143.92,228.46,0.16
2019-01-25 22:00,24.49,1.6,3399.6,157.39,256.78,0.28
2019-01-25 23:00,23.72,1.01,3316.6,151.45,252.94,0.4
2019-01-26 00:00,22.44,1.45,3257.0,103.41,177.34,0.36
2019-01-26 01:00,21.53,3.44,2927.5,119.35,199.75,0.34
2019-01-26 02:00,18.64,2.32,2767.8,67.3,141.51,0.64
2019-01-26 03:00,17.63,0.05,2684.9,77.78,138.88,0.52
2019-01-26 04:00,16.9,2.27,2454.1,89.37,149.08,0.28
2019-01-26 05:00,14.5,3.31,2229.8,109.36,185.2,0.44
2019-01-26 06:00,15.41,0.32,2249.8,151.36,247.79,0.5
2019-01-26 07:00,15.93,0.8300000000000001,2552.8,116.31,198.72,0.36
2019-01-26 08:00,16.88,3.44,2966.1,148.5,256.05,0.30000000000000004
2019-01-26 09:00,17.78,1.47,3163.8,119.76,208.43,0.44
2019-01-26 10:00,17.08,0.19,2900.5,35.8,78.26,1.06
2019-01-26 11:00,15.49,2.59,2588.9,45.51,89.78,1.22
2019-01-26 12:00,12.89,3.42,2278.1,47.85,96.24,1.3
2019-01-26 13:00,10.89,0.45,2131.8,54.23,101.41,2.66
2019-01-26 14:00,9.66,0.61,2078.4,33.83,68.51,2.54
2019-01-26 15:00,9.82,3.36,1761.9,55.52,157.64,2.7800000000000002
2019-01-26 16:00,9.21,1.3599999999999999,1757.7,53.45,134.37,2.9
